                                                                    08 Dec 2015 18:37:25
Satellite-CubeSat:  Lighting


Sunlight Times
--------------
                      Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------------------------    ------------------------    --------------
                  17 Jun 2015 18:23:50.594    17 Jun 2015 19:20:51.617          3421.023
                  17 Jun 2015 19:56:40.221    17 Jun 2015 20:53:40.674          3420.453
                  17 Jun 2015 21:29:29.830    17 Jun 2015 22:26:29.726          3419.896
                  17 Jun 2015 23:02:19.424    17 Jun 2015 23:59:18.770          3419.347
                  18 Jun 2015 00:35:08.998    18 Jun 2015 01:32:07.806          3418.808
                  18 Jun 2015 02:07:58.555    18 Jun 2015 03:04:56.834          3418.279
                  18 Jun 2015 03:40:48.094    18 Jun 2015 04:37:45.854          3417.760
                  18 Jun 2015 05:13:37.617    18 Jun 2015 06:10:34.867          3417.250
                  18 Jun 2015 06:46:27.122    18 Jun 2015 07:43:23.873          3416.751
                  18 Jun 2015 08:19:16.610    18 Jun 2015 09:16:12.872          3416.262
                  18 Jun 2015 09:52:06.081    18 Jun 2015 10:49:01.864          3415.783
                  18 Jun 2015 11:24:55.536    18 Jun 2015 12:21:50.851          3415.315
                  18 Jun 2015 12:57:44.974    18 Jun 2015 13:54:39.829          3414.855
                  18 Jun 2015 14:30:34.394    18 Jun 2015 15:27:28.801          3414.407
                  18 Jun 2015 16:03:23.798    18 Jun 2015 17:00:17.766          3413.968
                  18 Jun 2015 17:36:13.185    18 Jun 2015 18:33:06.725          3413.540
                  18 Jun 2015 19:09:02.555    18 Jun 2015 20:05:55.678          3413.122
                  18 Jun 2015 20:41:51.909    18 Jun 2015 21:38:44.624          3412.715
                  18 Jun 2015 22:14:41.246    18 Jun 2015 23:11:33.567          3412.321
                  18 Jun 2015 23:47:30.567    19 Jun 2015 00:44:22.500          3411.933
                  19 Jun 2015 01:20:19.872    19 Jun 2015 02:17:11.428          3411.557
                  19 Jun 2015 02:53:09.160    19 Jun 2015 03:50:00.350          3411.190
                  19 Jun 2015 04:25:58.432    19 Jun 2015 05:22:49.269          3410.837
                  19 Jun 2015 05:58:47.688    19 Jun 2015 06:55:38.177          3410.489
                  19 Jun 2015 07:31:36.928    19 Jun 2015 08:28:27.083          3410.155
                  19 Jun 2015 09:04:26.152    19 Jun 2015 10:01:15.986          3409.834
                  19 Jun 2015 10:37:15.360    19 Jun 2015 11:34:04.882          3409.522
                  19 Jun 2015 12:10:04.552    19 Jun 2015 13:06:53.772          3409.220
                  19 Jun 2015 13:42:53.729    19 Jun 2015 14:39:42.657          3408.928
                  19 Jun 2015 15:15:42.889    19 Jun 2015 16:12:31.537          3408.648
                  19 Jun 2015 16:48:32.035    19 Jun 2015 17:45:20.413          3408.378
                  19 Jun 2015 18:21:21.164    19 Jun 2015 19:18:09.284          3408.119
                  19 Jun 2015 19:54:10.278    19 Jun 2015 20:50:58.150          3407.871
                  19 Jun 2015 21:26:59.377    19 Jun 2015 22:23:47.011          3407.634
                  19 Jun 2015 22:59:48.460    19 Jun 2015 23:56:35.869          3407.408
                  20 Jun 2015 00:32:37.528    20 Jun 2015 01:29:24.722          3407.193
                  20 Jun 2015 02:05:26.581    20 Jun 2015 03:02:13.570          3406.989
                  20 Jun 2015 03:38:15.619    20 Jun 2015 04:35:02.415          3406.796
                  20 Jun 2015 05:11:04.641    20 Jun 2015 06:07:51.256          3406.615
                  20 Jun 2015 06:43:53.649    20 Jun 2015 07:40:40.093          3406.444
                  20 Jun 2015 08:16:42.642    20 Jun 2015 09:13:28.926          3406.285
                  20 Jun 2015 09:49:31.619    20 Jun 2015 10:46:17.756          3406.136
                  20 Jun 2015 11:22:20.582    20 Jun 2015 12:19:06.582          3406.000
                  20 Jun 2015 12:55:09.530    20 Jun 2015 13:51:55.404          3405.874
