                                                                   06 Dec 2015 21:08:14
Satellite-CubeSat:  Lighting


Sunlight Times
--------------
                      Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------------------------    ------------------------    --------------
                   3 Dec 2015 18:00:00.000     3 Dec 2015 18:00:19.378            19.378
                   3 Dec 2015 18:34:05.354     3 Dec 2015 19:33:11.570          3546.216
                   3 Dec 2015 20:06:56.592     3 Dec 2015 21:06:03.775          3547.183
                   3 Dec 2015 21:39:47.851     3 Dec 2015 22:38:55.992          3548.140
                   3 Dec 2015 23:12:39.136     4 Dec 2015 00:11:48.221          3549.084
                   4 Dec 2015 00:45:30.441     4 Dec 2015 01:44:40.459          3550.018
                   4 Dec 2015 02:18:21.768     4 Dec 2015 03:17:32.712          3550.945
                   4 Dec 2015 03:51:13.117     4 Dec 2015 04:50:24.975          3551.858
                   4 Dec 2015 05:24:04.488     4 Dec 2015 06:23:17.248          3552.760
                   4 Dec 2015 06:56:55.881     4 Dec 2015 07:56:09.532          3553.651
                   4 Dec 2015 08:29:47.296     4 Dec 2015 09:29:01.825          3554.529
                   4 Dec 2015 10:02:38.733     4 Dec 2015 11:01:54.126          3555.393
                   4 Dec 2015 11:35:30.192     4 Dec 2015 12:34:46.440          3556.249
                   4 Dec 2015 13:08:21.670     4 Dec 2015 14:07:38.762          3557.091
                   4 Dec 2015 14:41:13.173     4 Dec 2015 15:40:31.090          3557.918
                   4 Dec 2015 16:14:04.696     4 Dec 2015 17:13:23.428          3558.731
                   4 Dec 2015 17:46:56.242     4 Dec 2015 18:46:15.774          3559.532
                   4 Dec 2015 19:19:47.810     4 Dec 2015 20:19:08.126          3560.316
                   4 Dec 2015 20:52:39.395     4 Dec 2015 21:52:00.488          3561.093
                   4 Dec 2015 22:25:31.007     4 Dec 2015 23:24:52.853          3561.846
                   4 Dec 2015 23:58:22.635     5 Dec 2015 00:57:45.227          3562.592
                   5 Dec 2015 01:31:14.288     5 Dec 2015 02:30:37.606          3563.318
                   5 Dec 2015 03:04:05.957     5 Dec 2015 04:03:29.990          3564.033
                   5 Dec 2015 04:36:57.652     5 Dec 2015 05:36:22.380          3564.728
                   5 Dec 2015 06:09:49.364     5 Dec 2015 07:09:14.774          3565.410
                   5 Dec 2015 07:42:41.095     5 Dec 2015 08:42:07.173          3566.077
                   5 Dec 2015 09:15:32.850     5 Dec 2015 10:14:59.575          3566.725
                   5 Dec 2015 10:48:24.621     5 Dec 2015 11:47:51.982          3567.360
                   5 Dec 2015 12:21:16.414     5 Dec 2015 13:20:44.391          3567.977
                   5 Dec 2015 13:54:08.226     5 Dec 2015 14:53:36.803          3568.576
                   5 Dec 2015 15:27:00.058     5 Dec 2015 16:26:29.218          3569.160
                   5 Dec 2015 16:59:51.909     5 Dec 2015 17:59:21.634          3569.725
                   5 Dec 2015 18:32:43.779     5 Dec 2015 19:32:14.051          3570.272
                   5 Dec 2015 20:05:35.668     5 Dec 2015 21:05:06.470          3570.802
                   5 Dec 2015 21:38:27.575     5 Dec 2015 22:37:58.886          3571.311
                   5 Dec 2015 23:11:19.500     6 Dec 2015 00:10:51.305          3571.805
                   6 Dec 2015 00:44:11.444     6 Dec 2015 01:43:43.727          3572.283
                   6 Dec 2015 02:17:03.402     6 Dec 2015 03:16:36.143          3572.740
                   6 Dec 2015 03:49:55.383     6 Dec 2015 04:49:28.560          3573.176
                   6 Dec 2015 05:22:47.379     6 Dec 2015 06:22:20.978          3573.598
                   6 Dec 2015 06:55:39.390     6 Dec 2015 07:55:13.391          3574.001
                   6 Dec 2015 08:28:31.422     6 Dec 2015 09:28:05.801          3574.378
                   6 Dec 2015 10:01:23.469     6 Dec 2015 11:00:58.209          3574.741
                   6 Dec 2015 11:34:15.529     6 Dec 2015 12:33:50.617          3575.088
                   6 Dec 2015 13:07:07.607     6 Dec 2015 14:06:43.016          3575.409
                   6 Dec 2015 14:39:59.703     6 Dec 2015 15:39:35.416          3575.712
                   6 Dec 2015 16:12:51.811     6 Dec 2015 17:12:27.809          3575.998
                   6 Dec 2015 17:45:43.936     6 Dec 2015 18:45:20.197          3576.261
                   6 Dec 2015 19:18:36.074     6 Dec 2015 20:18:12.578          3576.503
                   6 Dec 2015 20:51:28.228     6 Dec 2015 21:51:04.955          3576.727
                   6 Dec 2015 22:24:20.395     6 Dec 2015 23:23:57.325          3576.930
                   6 Dec 2015 23:57:12.576     7 Dec 2015 00:56:49.690          3577.113
                   7 Dec 2015 01:30:04.771     7 Dec 2015 02:29:42.047          3577.276
                   7 Dec 2015 03:02:56.978     7 Dec 2015 04:02:34.397          3577.419
                   7 Dec 2015 04:35:49.198     7 Dec 2015 05:35:26.739          3577.541
                   7 Dec 2015 06:08:41.430     7 Dec 2015 07:08:19.072          3577.642
                   7 Dec 2015 07:41:33.675     7 Dec 2015 08:41:11.398          3577.723
